iter	Passed	Remaining
401	18752	27895
402	18795	27842
403	18844	27799
404	18880	27738
405	18926	27690
406	18977	27650
407	19009	27583
408	19055	27534
409	19101	27487
410	19141	27430
411	19186	27383
412	19239	27345
413	19291	27306
414	19337	27259
415	19385	27213
416	19432	27168
417	19482	27126
418	19532	27084
419	19579	27039
420	19628	26995
421	19672	26944
422	19714	26892
423	19745	26824
424	19795	26782
425	19846	26740
426	19883	26682
427	19928	26633
428	19978	26592
429	20028	26549
430	20079	26508
431	20121	26455
432	20179	26424
433	20223	26374
434	20271	26329
435	20299	26259
436	20330	26191
437	20385	26156
438	20433	26112
439	20481	26067
440	20530	26024
441	20579	25980
442	20626	25934
443	20669	25883
444	20724	25847
445	20779	25811
446	20836	25777
447	20895	25746
448	20938	25694
449	20988	25652
450	21039	25611
451	21085	25563
452	21131	25516
453	21174	25465
454	21229	25428
455	21276	25383
456	21319	25331
457	21368	25287
458	21415	25241
459	21462	25194
460	21513	25153
461	21544	25088
462	21594	25046
463	21630	24987
464	21676	24939
465	21723	24893
466	21769	24846
467	21817	24800
468	21868	24759
469	21905	24701
470	21955	24659
471	22004	24614
472	22061	24579
473	22113	24539
474	22157	24489
475	22207	24446
476	22265	24413
477	22314	24368
478	22361	24322
479	22406	24273
480	22455	24229
481	22508	24189
482	22546	24133
483	22594	24088
484	22624	24023
485	22673	23980
486	22728	23941
487	22766	23885
488	22817	23844
489	22871	23805
490	22913	23753
491	22962	23709
492	23011	23664
493	23058	23618
494	23109	23576
495	23153	23526
496	23205	23485
497	23251	23438
498	23293	23386
499	23346	23346
500	23386	23293
501	23433	23246
502	23484	23204
503	23529	23155
504	23577	23110
505	23620	23060
506	23672	23018
507	23715	22968
508	23766	22926
509	23812	22878
510	23867	22840
511	23915	22794
512	23960	22745
513	24011	22703
514	24068	22666
515	24102	22607
516	24153	22565
517	24201	22519
518	24269	22492
519	24319	22448
520	24372	22408
521	24423	22364
522	24488	22334
523	24541	22293
524	24598	22256
525	24651	22214
526	24704	22173
527	24754	22129
528	24801	22081
529	24851	22037
530	24901	21994
531	24943	21942
532	24992	21898
533	25039	21850
534	25091	21808
535	25127	21752
536	25175	21706
537	25231	21667
538	25278	21620
539	25326	21574
540	25364	21520
541	25399	21462
542	25440	21410
543	25489	21366
544	25543	21325
545	25586	21275
546	25626	21222
547	25679	21180
548	25732	21139
549	25781	21093
550	25826	21045
551	25883	21007
552	25938	20966
553	25987	20921
554	26038	20877
555	26094	20837
556	26145	20793
557	26195	20750
558	26252	20710
559	26306	20669
560	26361	20628
561	26417	20588
562	26465	20542
563	26517	20499
564	26570	20456
565	26616	20408
566	26667	20364
567	26714	20317
568	26768	20276
569	26810	20225
570	26863	20183
571	26920	20143
572	26974	20101
573	27016	20050
574	27072	20010
575	27122	19965
576	27177	19923
577	27221	19874
578	27280	19836
579	27327	19789
580	27384	19749
581	27434	19703
582	27488	19661
583	27539	19617
584	27577	19563
585	27623	19515
586	27683	19477
587	27735	19433
588	27789	19391
589	27851	19354
590	27908	19313
591	27947	19261
592	28004	19220
593	28058	19177
594	28118	19139
595	28176	19099
596	28228	19055
597	28281	19011
598	28335	18969
599	28389	18926
600	28439	18880
601	28489	18835
602	28535	18787
603	28586	18742
604	28633	18694
605	28680	18647
606	28720	18594
607	28769	18549
608	28820	18503
609	28871	18459
610	28922	18414
611	28970	18366
612	29024	18324
613	29071	18276
614	29114	18225
615	29160	18178
616	29206	18129
617	29265	18089
618	29315	18043
619	29358	17993
620	29407	17947
621	29448	17896
622	29489	17845
623	29534	17796
624	29592	17755
625	29649	17713
626	29692	17664
627	29746	17620
628	29802	17578
629	29846	17529
630	29898	17484
631	29952	17440
632	30005	17396
633	30065	17356
634	30114	17309
635	30167	17265
636	30216	17219
637	30277	17179
638	30336	17138
639	30397	17098
640	30459	17059
641	30506	17011
642	30593	16985
643	30664	16951
644	30730	16913
645	30777	16865
646	30831	16821
647	30882	16775
648	30928	16726
649	30979	16681
650	31029	16634
651	31070	16583
652	31115	16534
653	31158	16484
654	31211	16439
655	31259	16392
656	31305	16343
657	31354	16296
658	31390	16243
659	31442	16197
660	31488	16149
661	31539	16103
662	31593	16058
663	31643	16012
664	31686	15962
665	31736	15916
666	31789	15870
667	31838	15823
668	31887	15776
669	31930	15726
670	31977	15678
671	32028	15633
672	32076	15585
673	32119	15535
674	32167	15488
675	32219	15442
676	32272	15397
677	32320	15349
678	32356	15296
679	32407	15250
680	32454	15202
681	32503	15155
682	32536	15100
683	32584	15053
684	32629	15004
685	32676	14957
686	32720	14907
687	32773	14862
688	32819	14813
689	32867	14766
690	32916	14719
691	32965	14672
692	33016	14626
693	33060	14577
694	33091	14522
695	33145	14477
696	33201	14433
697	33249	14386
698	33290	14335
699	33345	14290
700	33391	14242
701	33445	14197
702	33492	14149
703	33540	14102
704	33590	14055
705	33634	14006
706	33684	13959
707	33733	13912
708	33777	13863
709	33812	13810
710	33860	13763
711	33903	13713
712	33955	13667
713	34003	13620
714	34046	13571
715	34091	13522
716	34141	13475
717	34187	13427
718	34239	13381
719	34289	13334
720	34328	13283
721	34372	13234
722	34423	13188
723	34472	13141
724	34509	13089
725	34553	13040
726	34604	12994
727	34653	12947
728	34702	12900
729	34751	12853
730	34794	12804
731	34845	12757
732	34895	12710
733	34939	12662
734	34972	12609
735	35002	12555
736	35045	12506
737	35085	12455
738	35115	12401
739	35143	12347
740	35199	12303
741	35246	12255
742	35294	12208
743	35338	12159
744	35383	12111
745	35428	12062
746	35477	12015
747	35519	11966
748	35566	11918
749	35612	11870
750	35655	11821
751	35704	11774
752	35748	11726
753	35792	11677
754	35840	11630
755	35889	11583
756	35936	11535
757	35981	11487
758	36027	11439
759	36077	11392
760	36121	11344
761	36158	11293
762	36202	11245
763	36245	11196
764	36280	11145
765	36329	11098
766	36367	11047
767	36409	10998
768	36457	10951
769	36501	10903
770	36552	10856
771	36595	10808
772	36648	10762
773	36692	10713
774	36724	10661
775	36758	10610
776	36809	10564
777	36855	10516
778	36888	10465
779	36919	10413
780	36968	10366
781	37014	10318
782	37063	10271
783	37106	10223
784	37161	10177
785	37212	10131
786	37265	10085
787	37312	10038
788	37346	9987
789	37398	9941
790	37447	9894
791	37489	9845
792	37530	9796
793	37581	9750
794	37629	9703
795	37680	9656
796	37724	9608
797	37772	9561
798	37825	9515
799	37872	9468
800	37911	9418
801	37957	9370
802	38000	9322
803	38033	9271
804	38078	9223
805	38129	9177
806	38172	9129
807	38219	9081
808	38251	9030
809	38298	8983
810	38345	8936
811	38386	8887
812	38438	8841
813	38486	8794
814	38535	8747
815	38583	8700
816	38623	8651
817	38670	8603
818	38723	8557
819	38765	8509
820	38809	8461
821	38856	8414
822	38912	8368
823	38963	8322
824	39011	8275
825	39060	8228
826	39093	8177
827	39147	8132
828	39199	8085
829	39252	8039
830	39296	7991
831	39346	7944
832	39396	7898
833	39442	7850
834	39474	7800
835	39520	7752
836	39574	7706
837	39619	7659
838	39659	7610
839	39705	7562
840	39747	7514
841	39796	7467
842	39854	7422
843	39901	7375
844	39943	7326
845	39980	7277
846	40025	7230
847	40071	7182
848	40121	7135
849	40156	7086
850	40209	7040
851	40260	6993
852	40316	6947
853	40363	6900
854	40403	6852
855	40448	6804
856	40481	6754
857	40520	6706
858	40566	6658
859	40612	6611
860	40663	6564
861	40703	6516
862	40742	6467
863	40783	6419
864	40824	6371
865	40882	6325
866	40935	6279
867	40984	6232
868	41028	6184
869	41076	6137
870	41117	6089
871	41158	6041
872	41207	5994
873	41241	5945
874	41292	5898
875	41340	5851
876	41388	5804
877	41436	5757
878	41483	5710
879	41527	5662
880	41570	5615
881	41615	5567
882	41669	5521
883	41714	5473
884	41757	5426
885	41805	5379
886	41849	5331
887	41887	5283
888	41931	5235
889	41975	5187
890	42027	5141
891	42074	5094
892	42124	5047
893	42171	5000
894	42208	4951
895	42250	4904
896	42304	4857
897	42350	4810
898	42402	4763
899	42457	4717
900	42501	4669
901	42534	4621
902	42589	4574
903	42630	4527
904	42679	4480
905	42728	4433
906	42775	4386
907	42824	4339
908	42868	4291
909	42913	4244
910	42961	4197
911	43011	4150
912	43056	4102
913	43104	4055
914	43147	4008
915	43207	3962
916	43254	3915
917	43304	3868
918	43349	3820
919	43393	3773
920	43434	3725
921	43480	3678
922	43520	3630
923	43568	3583
924	43619	3536
925	43647	3488
926	43696	3441
927	43724	3392
928	43766	3344
929	43812	3297
930	43863	3250
931	43917	3204
932	43964	3157
933	44013	3110
934	44049	3062
935	44103	3015
936	44152	2968
937	44195	2921
938	44245	2874
939	44286	2826
940	44335	2779
941	44384	2732
942	44424	2685
943	44469	2637
944	44521	2591
945	44567	2544
946	44602	2496
947	44650	2449
948	44685	2401
949	44733	2354
950	44779	2307
951	44833	2260
952	44873	2213
953	44922	2166
954	44967	2118
955	45014	2071
956	45046	2024
957	45078	1976
958	45130	1929
959	45180	1882
960	45227	1835
961	45259	1787
962	45298	1740
963	45346	1693
964	45395	1646
965	45440	1599
966	45487	1552
967	45535	1505
968	45583	1458
969	45631	1411
970	45673	1364
971	45720	1317
972	45770	1270
973	45817	1223
974	45862	1175
975	45894	1128
976	45936	1081
977	45979	1034
978	46020	987
979	46056	939
980	46085	892
981	46130	845
982	46179	798
983	46223	751
984	46265	704
985	46308	657
986	46351	610
987	46404	563
988	46453	516
989	46501	469
990	46544	422
991	46596	375
992	46643	328
993	46688	281
994	46718	234
995	46760	187
996	46806	140
997	46849	93
998	46900	46
999	46943	0
