iter	MAE	RMSE
227	1015325.236	1793476.388
228	1015137.864	1792963.492
229	1014856.559	1792320.66
230	1014702.568	1791985.343
231	1014489.717	1791689.132
232	1014398.413	1791478.607
233	1014271.831	1791247.066
234	1013447.166	1790032.549
235	1013207.975	1789095.722
236	1012969.396	1788629.383
237	1012051.904	1787398.836
238	1010690.538	1785587.871
239	1010559.675	1785210.329
240	1009396.707	1784157.918
241	1008117.72	1782840.124
242	1007917.624	1782412.199
243	1007662.085	1781711.577
244	1007293.023	1780968.494
245	1007288.705	1780960.871
246	1006415.399	1779782.309
247	1006146.634	1779322.256
248	1006044.527	1778915.955
249	1005163.019	1777823.207
250	1004371.325	1777084.586
251	1003989.223	1776400.762
252	1003951.951	1776301.93
253	1003693.039	1775674.023
254	1003022.987	1774787.679
255	1002055.943	1773956.172
256	1001803.661	1773414.12
257	1000651.837	1771856.087
258	1000340.423	1771278.115
259	1000084.704	1770958.199
260	999586.6569	1770312.917
261	998507.7569	1769184.869
262	998507.5184	1769184.766
263	997925.14	1768295.953
264	996965.7924	1767463.567
265	996240.2478	1766842.638
266	996143.4346	1766401.752
267	996140.1334	1766398.709
268	996106.2665	1766310.694
269	995082.8974	1765189.754
270	994520.5595	1764596.318
271	994017.0999	1763938.058
272	994016.3763	1763937.174
273	994012.8322	1763933.997
274	993929.3422	1763746.768
275	993914.8261	1763679.816
276	993638.5832	1763156.406
277	993128.8024	1762395.59
278	992379.6394	1761688.908
279	991018.2882	1760246.263
280	990835.0609	1759902.641
281	989926.9518	1759249.944
282	989690.1613	1758797.345
283	989388.3414	1758354.164
284	989256.6793	1758063.636
285	988527.8109	1757384.222
286	988255.9826	1756980.707
287	988061.2187	1756133.664
288	988018.6599	1755869.539
289	987267.4273	1754844.055
290	986582.3964	1754293.763
291	986560.6747	1754142.336
292	986443.5253	1753903.627
293	986261.2348	1753751.089
294	986090.8862	1753208.692
295	985152.2964	1752212.532
296	985133.8733	1752161.88
297	985132.3308	1752159.959
298	984864.8024	1751198.821
299	984842.1491	1751079.108
300	984731.1872	1750628.744
301	984246.399	1750164.289
302	983378.5654	1749185.399
303	982283.3813	1748000.552
304	982109.1542	1747308.126
305	980997.6629	1746235.133
306	980805.4352	1745519.907
307	980638.8777	1745054.656
308	980099.6479	1744631.831
309	980086.4037	1744579.626
310	979330.3637	1743698.556
311	978762.302	1742633.586
312	978264.5317	1742222.861
313	977870.8894	1741749.105
314	977735.0323	1741450.112
315	977710.1598	1741388.93
316	977016.8852	1740586.149
317	976837.2566	1740197.171
318	976836.0699	1740195.656
319	976813.6463	1740139.036
320	976348.2581	1739154.311
321	975564.5807	1737686.257
322	975440.6303	1737385.38
323	975039.1669	1736474.907
324	974955.2319	1736206.386
325	974354.045	1735597.829
326	974173.3719	1735292.354
327	974148.3286	1735170.681
328	974053.5573	1734886.809
329	973462.5105	1733733.81
330	973328.2642	1733411.189
331	973315.7306	1733365.018
332	973096.3113	1733024.487
333	972959.3431	1732536.944
334	972391.7686	1732009.195
335	971779.982	1731507.433
336	971723.1458	1731313.13
337	971585.4123	1730995.163
338	971186.3686	1730479.378
339	971094.7405	1730251.89
340	970710.7668	1729236.505
341	970689.9522	1729185.069
342	970588.9089	1728995.878
343	970108.728	1728039.508
344	968853.8639	1726873.398
345	968780.235	1726601.316
346	968765.783	1726539.968
347	967880.2248	1725558.219
348	967344.5191	1724512.822
349	967225.2753	1724187.938
350	967210.1266	1724135.258
351	966893.121	1723178.637
352	966366.0648	1722730.779
353	966240.5336	1722442.741
354	966174.5423	1722171.907
355	966104.4756	1721939.721
356	965502.767	1720863.008
357	964522.0778	1719794.681
358	964142.6103	1719439.23
359	963744.7882	1718529.03
360	963731.4301	1718475.485
361	963590.2541	1718205.377
362	963184.096	1717818.501
363	962527.5363	1717035.853
364	962497.2581	1716733.452
365	961750.9535	1716092.963
366	961453.5555	1715554.06
367	961363.5659	1715350.673
368	960863.9354	1714806.945
369	960796.7221	1714564.122
370	960796.8553	1714562.84
371	960726.2817	1714350.068
372	960654.9224	1714188.394
373	960225.563	1713409.228
374	959879.3507	1712856.929
375	959736.4877	1712565.799
376	959414.3256	1712245.564
377	959295.1989	1711957.557
378	958796.9109	1711059.564
379	958403.8006	1710670.199
380	958306.5935	1710439.381
381	957964.6172	1710149.245
382	957814.0685	1709493.328
383	957738.1875	1709326.84
384	957413.6252	1708884.621
385	957334.5809	1708639.601
386	956676.3971	1707882.411
387	956359.4897	1707366.058
388	956301.5685	1707129.987
389	956272.3617	1706998.353
390	956084.3408	1706158.805
391	955606.8965	1705438.346
392	954780.2732	1704300.905
393	954751.7745	1704174.004
394	954114.3797	1703389.387
395	954112.9037	1703387.65
396	953211.5367	1702467.716
397	952689.3568	1701729.757
398	952582.8412	1701461.788
399	952505.7565	1701146.011
400	951919.9964	1700396.855
401	951569.8871	1699862.715
402	951503.1063	1699720.057
403	951494.1534	1699675.616
404	951483.2245	1699629.724
405	951441.5598	1699586.66
406	950572.974	1698442.747
407	950268.6703	1697972.549
408	949739.0256	1697293.578
409	949352.9959	1696772.612
410	949257.9051	1696640.535
411	948950.0032	1696117.877
412	948894.5057	1696003.512
413	948093.1773	1695197.929
414	948010.7777	1695039.551
415	947990.1012	1694888.358
416	947948.6768	1694752.958
417	947877.977	1694605.2
418	947795.3433	1694448.761
419	947451.9038	1693887.924
420	947332.4648	1693631.965
421	947331.1814	1693629.818
422	946740.9826	1692715.969
423	946376.762	1692272.206
424	946228.1275	1691784.335
425	945981.2468	1691553.941
426	945882.9739	1691378.483
427	945825.7967	1691109.004
428	945414.3142	1690217.91
429	945106.5112	1689884.958
430	944573.4192	1689305.039
431	944325.235	1688830.814
432	944270.8244	1688704.266
433	944269.3407	1688702.464
434	944258.9173	1688643.993
435	944257.4468	1688642.236
436	944247.7848	1688587.819
437	943920.6502	1688065.863
438	943900.401	1687955.217
439	943522.7795	1687140.151
440	942818.7711	1686328.286
